2018-06-17 19:38:57,916 | DEBUG | Executing SQL: DELETE FROM ACTIVEMQ_MSGS WHERE (PRIORITY=? AND ID <=      ( SELECT min(ACTIVEMQ_ACKS.LAST_ACKED_ID)       FROM ACTIVEMQ_ACKS WHERE ACTIVEMQ_ACKS.CONTAINER=ACTIVEMQ_MSGS.CONTAINER        AND ACTIVEMQ_ACKS.PRIORITY=?)   ) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | ActiveMQ JDBC PA Scheduled Task
2018-06-17 19:38:57,969 | DEBUG | Deleted 0 old message(s) at priority: 0 | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | ActiveMQ JDBC PA Scheduled Task
2018-06-17 19:38:57,970 | DEBUG | Cleanup done. | org.apache.activemq.store.jdbc.JDBCPersistenceAdapter | ActiveMQ JDBC PA Scheduled Task
2018-06-17 19:38:58,186 | INFO  | Apache ActiveMQ 5.12.2 (master, ID:1dda67ceec52-44675-1529264337986-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-06-17 19:38:58,285 | DEBUG | Publishing: tcp://1dda67ceec52:61616 for broker transport URI: tcp://1dda67ceec52:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.broker.TransportConnector | main
2018-06-17 19:38:58,317 | DEBUG | Publishing: amqp://0.0.0.0:5672 for broker transport URI: amqp://0.0.0.0:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.broker.TransportConnector | main
2018-06-17 19:38:58,321 | DEBUG | Publishing: stomp://0.0.0.0:61613 for broker transport URI: stomp://0.0.0.0:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.broker.TransportConnector | main
2018-06-17 19:38:58,330 | DEBUG | Publishing: mqtt://0.0.0.0:1883 for broker transport URI: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.broker.TransportConnector | main
2018-06-17 19:38:58,332 | DEBUG | Publishing: ws://0.0.0.0:61614 for broker transport URI: ws://0.0.0.0:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.broker.TransportConnector | main
2018-06-17 19:38:58,337 | INFO  | Listening for connections at: tcp://1dda67ceec52:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
